name,gfn2_alpha(A^3),add_alpha(A^3),dft_alpha(A^3),subset
62694672,22.574241084324683,23.671999999999997,22.71814356,pcqc
12461646,22.24901387472845,23.146000000000008,22.718588115,pcqc
62870434,21.916504275681238,22.55700000000001,22.718588115,pcqc
58067656,22.94968320247704,24.43800000000001,22.720168755000003,pcqc
65194796,22.97080604396122,24.21400000000001,22.72110726,pcqc
43499703,22.488843717063194,23.710000000000004,22.72209516,pcqc
10487896,22.72141799137972,24.256000000000004,22.7266395,pcqc
65241387,22.736261802092987,24.056000000000004,22.72910925,pcqc
11401602,21.5147156567875,22.744000000000003,22.731529605,pcqc
15624795,21.180253131430376,22.445000000000004,22.733604195,pcqc
22986468,22.928794789206083,24.274000000000004,22.735086045000006,pcqc
3058652,21.971287718886,23.488000000000003,22.737703980000006,pcqc
5262070,22.551600238658185,23.699000000000005,22.737852165,pcqc
3116806,22.026463555206213,23.291999999999998,22.73869188,pcqc
64701777,22.99626106547957,24.217,22.739037645000003,pcqc
43692722,23.088899478657584,24.390000000000004,22.740321915000006,pcqc
11084997,21.93342696970901,23.058000000000003,22.743927750000005,pcqc
64310032,22.61334836329293,23.690000000000005,22.744026540000004,pcqc
57027694,22.339865476657888,23.36800000000001,22.74501444,pcqc
23218984,22.70701369652009,23.773000000000003,22.745854155,pcqc
54463749,22.680571172085795,23.37100000000001,22.74619992,pcqc
21998563,20.821326940273348,22.20800000000001,22.747533585000006,pcqc
64503829,22.383701033393546,23.52800000000001,22.748076930000003,pcqc
18184424,21.981771639024096,22.818,22.753559775,pcqc
62916759,22.592859752373013,23.732000000000006,22.75380675,pcqc
22353794,20.30776259366381,21.491000000000003,22.753856145,pcqc
64776327,22.679028717426117,24.08600000000001,22.755634365,pcqc
64805675,22.25874516471797,23.069000000000003,22.75607892,pcqc
58419261,22.79323808265521,24.451999999999998,22.759190805,pcqc
57565084,23.24234415444548,24.79600000000001,22.76170995,pcqc
11299274,23.264347213114643,23.869,22.764229095,pcqc
54094867,22.290888799549208,23.543000000000006,22.765513365,pcqc
63712261,23.10250431699987,24.12100000000001,22.76566155,pcqc
1520125,21.478829320703557,22.522,22.765908525000004,pcqc
64740027,22.677880878652573,24.08600000000001,22.76645187,pcqc
15121403,20.611259552644338,21.564000000000004,22.766797635,pcqc
64158054,22.145659039600343,23.20800000000001,22.767884325,pcqc
64928051,22.10943780606892,23.441999999999997,22.768971015,pcqc
43400260,23.44807521286841,24.85700000000001,22.773317775,pcqc
63639521,23.469910081890273,24.467,22.7740587,pcqc
60052051,22.787563941875728,24.00500000000001,22.774898415,pcqc
28743257,22.203505164417766,23.308000000000003,22.775985105000004,pcqc
20465871,22.21623393474699,23.525,22.776528450000004,pcqc
21835787,21.621669009444236,22.356000000000005,22.77741756,pcqc
25324216,22.88138234990964,24.358000000000004,22.77860304,pcqc
64410434,23.33236236555869,24.17400000000001,22.778948805,pcqc
62780673,22.299841527065677,23.249,22.77968973,pcqc
64575232,23.282292233465505,24.12200000000001,22.781023395,pcqc
4664526,23.105848549563962,24.260000000000005,22.781714925000006,pcqc
53954396,23.12731606868657,24.215000000000003,22.782505245,pcqc
20791967,22.15572907983985,23.611,22.78275222,pcqc
572576,23.10206361566853,24.450000000000006,22.782801615,pcqc
57191300,21.328553130412182,22.029,22.78828446,pcqc
64313087,21.970399203357182,23.010000000000005,22.79124816,pcqc
46312409,21.823588312539005,23.301,22.79164332,pcqc
472395,21.51270627210259,22.783,22.791791505000006,pcqc
59628594,22.931992022536587,24.402000000000005,22.792878195000004,pcqc
2756363,21.319272321944933,22.805,22.79371791,pcqc
12141396,21.627675973085257,22.67900000000001,22.793816699999997,pcqc
57050705,22.68995467255796,23.886000000000006,22.79391549,pcqc
234289,23.060079923269697,24.36900000000001,22.797817695,pcqc
43543488,22.582093243990517,23.67400000000001,22.79885499,pcqc
10176600,21.876094008546733,22.953000000000007,22.80102837,pcqc
65104557,23.079447813218238,24.390000000000004,22.80423904500001,pcqc
57025725,23.414064302490374,24.282000000000004,22.805967870000003,pcqc
21766137,22.740619914451628,24.207000000000004,22.806116055000004,pcqc
62689608,23.08237579492835,24.169000000000004,22.807103955,pcqc
20069812,23.184345695744863,24.112000000000005,22.81080858,pcqc
64397895,22.66103924166187,23.52000000000001,22.812389220000004,pcqc
59886445,22.3712176569462,23.785999999999998,22.812488010000006,pcqc
21764359,22.84644143228364,23.733000000000004,22.812883170000006,pcqc
63000990,23.352491776738486,24.561,22.813031355000003,pcqc
64044582,22.281633182482878,23.01100000000001,22.813080750000005,pcqc
12596583,20.949647342818455,22.209,22.81337712,pcqc
62662154,22.237397230657354,23.243,22.81476018,pcqc
247675,22.98626541396513,23.812000000000005,22.820638185000004,pcqc
64802764,23.32441551586237,24.133000000000006,22.820687580000005,pcqc
62769874,22.747978915398328,23.770000000000003,22.822021245,pcqc
62724040,22.89238610201489,24.23200000000001,22.82335491,pcqc
20110330,23.444201516330928,24.301000000000005,22.82350309500001,pcqc
23729474,22.080040774861192,23.366999999999997,22.823601885,pcqc
22631214,22.022111666605447,22.681000000000008,22.824490995000005,pcqc
65120453,22.92454292528543,24.238000000000003,22.824490995000005,pcqc
62834637,23.66839594522477,24.59500000000001,22.826960745,pcqc
4371794,22.792114249804893,23.44500000000001,22.826960745,pcqc
20267715,21.92075139769113,22.979000000000006,22.82809683,pcqc
59045046,23.15188850206456,24.263,22.830072630000004,pcqc
10560928,22.658301232751626,23.684000000000005,22.830615975,pcqc
33589459,21.21884546852695,22.44,22.830912345,pcqc
23311852,22.60594905610477,23.90400000000001,22.831505085,pcqc
556732,23.394056402773828,25.16200000000001,22.83402423,pcqc
43184585,23.440720509278325,24.62100000000001,22.834369995000007,pcqc
58913959,23.569090257332306,24.600000000000005,22.83520971,pcqc
54097363,18.756017641698755,19.515,22.83550608,pcqc
63156383,22.76239002675467,24.256000000000004,22.838321595000004,pcqc
44381261,22.230602813460614,23.28100000000001,22.838469780000004,pcqc
10607959,23.07179851842215,24.42900000000001,22.84469355,pcqc
12009910,22.262045682792223,23.445000000000004,22.845039315000005,pcqc
54853191,22.30761055510848,23.713,22.846224795,pcqc
43755151,22.48919758215372,23.747000000000003,22.846718745000004,pcqc
19389277,23.116266675690245,24.30800000000001,22.848101805,pcqc
63907047,22.648868090401184,23.995000000000005,22.851460665000005,pcqc
4778196,22.467629593796854,23.855,22.852349775000004,pcqc
20695227,22.86649171282761,24.46800000000001,22.85279433,pcqc
21888362,23.69512416978241,24.76700000000001,22.854523155000006,pcqc
27282477,21.208729787396365,22.493,22.857882015,pcqc
22046292,22.372969052048774,23.655,22.859660235,pcqc
64085161,22.731790624799643,24.010000000000005,22.86217938,pcqc
63176568,22.96786428107296,24.21100000000001,22.862278170000003,pcqc
62574124,22.604736756981808,23.70200000000001,22.862920305,pcqc
64194774,21.670161270731764,23.003000000000004,22.86356244,pcqc
64000772,22.797232105178253,24.077000000000005,22.864846710000005,pcqc
65188170,23.18711097064199,24.526000000000003,22.869736815000003,pcqc
23311703,22.19386871264346,23.525,22.870329555,pcqc
