Folder,Molecule,alpha_GFN2,alpha_wb97,error
kyle-mutants,646,81.49231204,83.49666667,2.00435462999999
pubchemqc,59298468,21.3258831382844,23.33020094336002,2.00431780507562
mike-copolymer,41-66,28.129510628000002,30.133391999999997,2.003881372
pubchemqc,60341003,24.103118171645555,26.105700585567412,2.00258241392186
mike-copolymer,76-79,32.215705676,34.216564,2.000858324
mike-copolymer,46-51,28.847574215999998,30.84788667,2.000312454
mike-copolymer,58-84,27.446798467999997,29.44529067,1.998492202
pubchemqc,13338600,25.514393501142077,27.51049164846791,1.99609814732583
kyle-mutants,1577,50.062972544,52.05801333,1.995040786
mike-copolymer,34-59,30.147367048,32.14170267,1.994335622
mike-copolymer,52-91,28.786903539999997,30.781188,1.99428446
mike-copolymer,79-100,29.380184183999997,31.37378,1.993595816
mike-copolymer,75-76,33.583715704,35.57663467,1.992918966
pubchemqc,732500,26.08576070263335,28.078039092656606,1.99227839002326
pubchemqc,53238642,26.49893820569695,28.48999259000507,1.99105438430812
pubchemqc,45054404,25.326980147618876,27.31785152380856,1.99087137618968
mike-copolymer,23-75,28.71945254,30.710296000000003,1.99084346
pubchemqc,53676407,22.089366927850083,24.080015582418717,1.99064865456863
mike-copolymer,7-79,25.181963495999998,27.17215867,1.990195174
mike-copolymer,50-51,29.217203328,31.20703333,1.989830002
mike-copolymer,85-89,30.631393499999998,32.62077867,1.98938517
mike-copolymer,50-89,29.100275928000002,31.08922533,1.988949402
mike-copolymer,59-70,27.323516836,29.31209067,1.988573834
mike-copolymer,77-95,29.104238184,31.09253067,1.988292486
mike-copolymer,46-58,25.296610807999997,27.28458933,1.987978522
mike-copolymer,54-92,28.045166463999994,30.03299867,1.98783220600001
mike-copolymer,2-98,27.866222476,29.85362267,1.987400194
pubchemqc,45116114,19.595882647953022,21.583103197410992,1.98722054945797
pubchemqc,18969181,27.14363683433403,29.13015054271921,1.98651370838518
pubchemqc,9816161,25.31958558234147,27.305996746906448,1.98641116456498
mike-copolymer,22-36,25.485477604,27.47171067,1.986233066
mike-copolymer,37-62,29.456799196000002,31.44255067,1.985751474
pubchemqc,14363160,19.376584241919762,21.362307977609124,1.98572373568936
pubchemqc,19784711,28.338583231226554,30.32303746849441,1.98445423726785
kyle-mutants,863,55.602833656,53.62059733,1.982236326
mike-copolymer,27-76,31.990042972,33.97182133,1.981778358
mike-copolymer,18-78,32.317533080000004,34.29919733,1.98166424999999
pubchemqc,54414984,18.093212619560234,20.074582836617008,1.98137021705677
pubchemqc,24823428,25.286283883991604,27.26746872197457,1.98118483798297
mike-copolymer,1-98,27.788679207999998,29.76946,1.980780792
mike-copolymer,42-93,25.302305108,27.282467999999998,1.980162892
pubchemqc,11252437,17.895229991505236,19.87453347639384,1.9793034848886
pubchemqc,202886,25.208213806148606,27.185967130772546,1.97775332462394
mike-copolymer,16-59,27.018101667999996,28.995420000000003,1.97731833200001
mike-copolymer,32-85,26.90359614,28.87993067,1.97633453
mike-copolymer,70-83,28.520327864,30.49648533,1.976157466
mike-copolymer,41-65,28.554974664,30.53052533,1.975550666
pubchemqc,58684496,20.043747080047496,22.01876624856368,1.97501916851618
pubchemqc,53826823,21.368007457974237,23.342055720262127,1.97404826228789
pubchemqc,62640521,22.71095363162351,24.684609204426533,1.97365557280302
mike-copolymer,45-64,24.555527891999997,26.52880267,1.973274778
mike-copolymer,37-41,26.592562448,28.565036,1.972473552
homopolymer,2-sp31,27.197694339999998,29.169615999999998,1.97192166
mike-copolymer,23-79,27.350803448,29.322647999999997,1.971844552
mike-copolymer,83-89,30.646457975999997,32.61648667,1.970028694
mike-copolymer,46-52,29.6069486,31.57619467,1.96924607
pubchemqc,9815645,21.899634631780106,23.86811144529343,1.96847681351332
mike-copolymer,84-89,30.862528947999998,32.82862,1.966091052
pubchemqc,16756562,19.28845538587531,21.254133138377334,1.96567775250202
pubchemqc,43189686,26.844959879457193,28.810071566362137,1.96511168690494
mike-copolymer,23-60,26.675646836,28.63967733,1.964030494
mike-copolymer,20-98,31.468074796,33.431424,1.963349204
mike-copolymer,6-79,24.967682732,26.929932,1.962249268
homopolymer,2-sp74,27.916309671999997,29.877647999999997,1.961338328
mike-copolymer,18-77,33.659809607999996,35.62064,1.96083039200001
mike-copolymer,64-75,28.526622748,30.48597733,1.959354582
pubchemqc,58928680,20.60587274202001,22.564085986060913,1.9582132440409
kyle-mutants,1767,72.785704252,74.74320667,1.957502418
homopolymer,2-sp60,26.302247276000003,28.25857733,1.956330054
pubchemqc,53225052,24.551849780670423,26.50728115312652,1.9554313724561
mike-copolymer,38-72,33.125141552,35.079552,1.954410448
mike-copolymer,67-83,33.05865773199999,35.01305067,1.95439293800001
mike-copolymer,41-58,25.358843032,27.313104,1.954260968
mike-copolymer,15-59,25.345035076,27.29864933,1.953614254
mike-copolymer,62-84,31.898221995999997,33.85179333,1.953571334
mike-copolymer,33-93,26.561784663999997,28.51506133,1.953276666
mike-copolymer,42-50,25.417753544,27.37033067,1.952577126
mike-copolymer,52-55,32.424242264,34.3767,1.952457736
mike-copolymer,71-93,28.170683932000003,30.12091067,1.950226738
pubchemqc,9588635,21.264019725944273,23.213135021451645,1.94911529550737
mike-copolymer,39-71,29.220654392,31.16914533,1.948490938
mike-copolymer,43-54,27.757206711999995,29.70483333,1.947626618
mike-copolymer,71-75,29.698282211999995,31.645656,1.947373788
mike-copolymer,19-98,27.972876604,29.92007467,1.947198066
mike-copolymer,11-83,26.983480323999995,28.92946133,1.945981006
mike-copolymer,44-89,27.684389232,29.62920533,1.944816098
mike-copolymer,64-79,27.170008571999997,29.11362267,1.943614098
mike-copolymer,33-45,24.106613107999998,26.04795067,1.941337562
pubchemqc,53906543,23.45016743280692,25.391450277215057,1.94128284440814
mike-copolymer,30-37,25.697871071999998,27.63801333,1.940142258
kyle-mutants,578,43.697918339999994,45.63782267,1.93990433
mike-copolymer,22-45,24.281105403999998,26.21963067,1.938525266
pubchemqc,10966512,27.764419191494646,29.700661681133443,1.9362424896388
mike-copolymer,8-98,29.109561596,31.04522,1.935658404
mike-copolymer,91-100,28.133726703999997,30.06772933,1.934002626
mike-copolymer,1-77,24.396976971999997,26.330828000000004,1.93385102800001
mike-copolymer,32-84,27.143944884,29.076079999999997,1.932135116
mike-copolymer,15-85,26.532509819999994,28.46459333,1.93208351000001
mike-copolymer,53-89,29.447211904,31.37876267,1.931550766
pubchemqc,20763523,21.836553141113292,23.767345841625467,1.93079270051217
mike-copolymer,1-85,24.521442307999997,26.4513,1.929857692
mike-copolymer,23-84,29.075020171999995,31.00373067,1.928710498
mike-copolymer,26-85,28.296362719999994,30.22465867,1.92829595000001
mike-copolymer,26-79,26.827233467999996,28.75516667,1.92793320200001
pubchemqc,53414453,25.22569900934037,27.15336649429173,1.92766748495136
pubchemqc,21998563,20.821326940273348,22.747835028043674,1.92650808777033
mike-copolymer,51-71,29.980736215999997,31.907171999999996,1.926435784
mike-copolymer,22-46,26.443190636,28.36883733,1.925646694
pubchemqc,13153098,24.624984863073788,26.55025471939669,1.9252698563229
pubchemqc,21954829,17.2797367912442,19.204738581424404,1.9250017901802
pubchemqc,712327,23.834203375105034,25.758948361180593,1.92474498607556
mike-copolymer,60-92,27.419443923999996,29.343664,1.924220076
mike-copolymer,58-75,27.093061596,29.01707733,1.924015734
mike-copolymer,65-76,33.459714792,35.381768,1.922053208
mike-copolymer,39-60,27.850884199999996,29.77232133,1.92143713
