ID,alpha_GFN2(A^3),gap_GFN2(eV),alpha_DFT(A^3),gap_DFT(eV),pi_sys_size
63619916,26.97773589990096,9.09,26.88070960500001,10.858158976501501,1
63620875,25.06916601598477,2.9043,25.33044753,9.123977407265,10
63620981,26.38271026833085,3.5937,26.01219732,10.1278054017595,5
63622973,20.103533831843794,8.9853,19.86508836,10.4276748650105,1
63623835,24.8742548124404,3.6021,25.060207485,8.994995442128,7
63624388,20.751475334702448,8.8548,20.446516905000006,11.0279580192135,1
63624567,19.326764097434488,3.1834,18.75834399,9.8339224432195,6
63627716,27.9628045855949,7.5,27.990911625,10.438015191329498,1
63628084,24.34701746252137,9.0692,24.0267159,10.7656402673315,1
63630573,27.566859778975054,3.5458,28.693407315000005,8.820298350107,7
63637471,19.248207825553788,3.6679,18.35399652,10.813804418870001,3
63639521,23.469910081890273,2.4742,22.7740587,8.7030172805415,8
63645352,22.80502884376206,3.1792,24.48124869,8.356888462705502,13
63646915,19.41978660538413,2.5455,18.05742894,9.984945630247001,3
63651718,26.155744785336136,3.3862,27.551790075,8.9201641332405,10
63653736,22.392762380303388,2.8271,21.93049089,10.0254905939715,3
63655012,19.913523689440176,3.9819999999999998,20.455358610000005,9.495140699347001,8
63655212,20.09443084503008,2.8121,21.235849005,8.0787881074945,10
63655663,21.03810576166078,5.2321,21.406755705000005,10.822784175936501,2
63656867,19.807973201445094,3.3183,19.60941984,9.006424223848999,7
63657106,22.052368613692718,4.1925,22.016388795,9.956645789795001,6
63664806,24.826490286269962,6.2084,24.746154075000003,11.829877536637001,1
63669930,27.25804313704441,3.404,28.492715430000004,8.591178487986,9
63672347,26.53733316075809,3.3797,27.717559695,8.547096044205,9
63673464,22.59618338726223,2.4659,23.26692201,8.0755227412885,9
63675799,19.238205357542626,2.6407,19.65160317,9.232006605913499,9
63677798,26.605988026600734,3.5241,27.312323115,8.765331352306001,9
63686756,21.386148230328697,2.9442,21.699371685,8.834992498034,9
63687510,24.39232330796232,5.5668,23.13612405000001,11.0524482657585,3
63688299,25.024032805732464,3.6975,25.625088705000003,9.1775838358135,8
63689737,20.2237606818284,6.1584,18.806504115,11.399665538996501,3
63690859,20.90492104778332,9.1256,20.825919900000006,10.8538051548935,1
63693864,24.44807706465652,2.0322,25.67166819,7.901914104669499,9
63695570,21.059633740145603,3.6694,21.179736285000004,10.593392199965,2
63695621,21.825690312668467,2.8843,21.460349280000006,10.116104506188,3
63700199,26.747663428064914,9.08,26.45645595,10.1424995496865,1
63703153,24.912817808964128,3.3359,24.87882904500001,9.542216395483498,6
63703159,24.11955778351456,3.8867,24.47235759,9.4480650032105,7
63706168,25.390797523561893,3.0179,27.156531285,8.4722647353175,9
63708649,19.581310459815523,3.4321,19.37301537,9.44235061235,7
63712261,23.10250431699987,2.9509,22.76566155,9.8350108986215,2
63714534,23.47778091282973,9.0131,23.165909235,10.74305481774,1
63716035,24.499704766249927,9.0048,24.14397963,10.3743405503125,1
63717845,19.779092149402032,2.3685,20.702284215,8.338384720871499,11
63718154,27.519095252804608,3.4339,27.904075215,9.4796302098685,6
63718740,22.12721552588075,3.1515,21.903768195,10.1125670261315,5
63718914,21.00834301058563,3.7445,20.999543325,10.080185477921999,5
63723349,21.69121728091116,2.8492,21.98097258,9.3272464535885,9
63725543,24.16662850886681,3.6055,24.37070268,9.527794361407,7
63727053,23.45538101550376,3.3016,23.547535005,9.037989430507,6
63727462,26.955920443076266,3.6884,27.18266124,9.987666768752,6
63729526,24.879076594760622,3.2066,25.77885534000001,9.128331228873,7
